feature,consistency_score,max_regime_drop,min_regime_drop,mean_regime_drop,best_regime,regime_specialist,is_dead_everywhere,is_harmful_anywhere
CPR_Tmr_Above,1.0,0.0,0.0,0.0,,False,True,False
CPR_Tmr_Below,1.0,0.0,0.0,0.0,,False,True,False
CPR_Tmr_Inside,1.0,0.0,0.0,0.0,,False,True,False
CPR_Tmr_Overlap,1.0,0.0,0.0,0.0,,False,True,False
CPR_Yday_Above,1.0,0.0,0.0,0.0,,False,True,False
CPR_Yday_Below,1.0,0.0,0.0,0.0,,False,True,False
CPR_Yday_Inside,1.0,0.0,0.0,0.0,,False,True,False
CPR_Yday_Overlap,1.0,0.0,0.0,0.0,,False,True,False
Comb_ATRhigh__EMA20neg,0.0,0.00057,-7e-05,0.00019,,False,True,False
Comb_ATRlow__EMA20pos,0.0,0.00056,-7e-05,0.00014,,False,True,False
Comb_GapDown__CPR_Tmr_Below,0.387,8e-05,0.0,5e-05,,False,True,False
Comb_GapUp__CPR_Tmr_Above,0.354,0.00019,-0.0,0.00011,,False,True,False
Comb_RSIslopePos__ADX_15_25,0.492,4e-05,0.0,3e-05,,False,True,False
DOW_0,0.127,1e-05,-0.0,0.0,,False,True,False
DOW_1,0.0,1e-05,-0.0,0.0,,False,True,False
DOW_2,0.0,1e-05,-1e-05,0.0,,False,True,False
DOW_3,0.249,1e-05,0.0,0.0,,False,True,False
DOW_4,1.0,0.0,0.0,0.0,,False,True,False
DOW_5,0.0,0.0,-0.0,0.0,,False,True,False
DOW_6,0.301,3e-05,0.0,2e-05,,False,True,False
D_WQ_12,0.0,0.00015,-0.00015,4e-05,,False,True,False
D_WQ_13,0.0,0.00163,-0.00036,0.00065,bear_trend,False,False,False
D_WQ_16,0.39,0.0017,0.00022,0.00099,bear_trend,False,False,False
D_WQ_19,0.816,0.01255,0.008,0.00964,bull_trend,False,False,False
D_WQ_20,0.0,0.0021,-0.00047,0.00062,bull_trend,False,False,False
D_WQ_23,0.021,1e-05,-0.00014,-6e-05,,False,True,False
D_WQ_26,0.543,8e-05,1e-05,5e-05,,False,True,False
D_WQ_29,0.0,0.00477,-0.00224,0.00204,bull_trend,True,False,True
D_WQ_3,0.0,0.00082,-0.00022,0.00032,,False,True,False
D_WQ_33,0.0,0.00015,-0.0001,4e-05,,False,True,False
D_WQ_35,0.0,0.0004,-0.00082,-0.00031,,False,True,True
D_WQ_38,0.0,0.00041,-0.00046,-0.00014,,False,True,False
D_WQ_40,0.803,0.00819,0.00476,0.00641,bull_range,False,False,False
D_WQ_41,0.714,-0.00011,-0.00026,-0.0002,,False,True,False
D_WQ_44,0.343,6e-05,1e-05,3e-05,,False,True,False
D_WQ_6,0.184,0.00022,-2e-05,0.0001,,False,True,False
D_adx14,0.599,9e-05,4e-05,5e-05,,False,True,False
D_adx14_lag1,0.635,8e-05,3e-05,5e-05,,False,True,False
D_adx14_lag2,0.472,0.00012,3e-05,6e-05,,False,True,False
D_atr14,0.0,3e-05,-1e-05,1e-05,,False,True,False
D_atr14_to_close_pct,0.0,0.0007,-2e-05,0.00026,,False,True,False
D_atr30,0.674,8e-05,3e-05,7e-05,,False,True,False
D_atr_pct,0.0,0.00086,-1e-05,0.0003,,False,True,False
D_atr_pct_z252,0.468,0.00115,0.00012,0.0007,bear_range,False,False,False
D_atr_ratio_14_30,0.175,0.00115,0.0001,0.00049,bull_range,False,False,False
D_bb_bw_20,0.206,0.00097,6e-05,0.00042,,False,True,False
D_bb_pctB_20,0.54,0.00187,0.00031,0.00128,bear_range,False,False,False
D_body_ratio,0.959,0.00055,0.00049,0.00051,,False,True,False
D_body_ratio_rmean20,0.0,7e-05,-0.00026,-0.00011,,False,True,False
D_body_ratio_rmean50,0.673,0.00052,0.00025,0.00033,,False,True,False
D_breakout_high_20,0.0,1e-05,-6e-05,-2e-05,,False,True,False
D_breakout_high_50,0.0,4e-05,-0.00016,-3e-05,,False,True,False
D_breakout_low_20,0.13,0.0005,6e-05,0.0002,,False,True,False
D_breakout_low_50,0.0,0.00036,-0.0,0.0001,,False,True,False
D_close_roll_slope_20,0.0,0.00116,-0.00048,0.00024,bear_range,False,False,False
D_close_roll_slope_20_rstd10,0.0,8e-05,-0.0001,-1e-05,,False,True,False
D_close_roll_slope_20_rstd20,0.073,3e-05,-0.00016,-7e-05,,False,True,False
D_close_roll_slope_50,0.0,0.00052,-0.00022,0.00013,,False,True,False
D_cmf20,0.149,0.00237,0.00012,0.001,bear_range,False,False,False
D_cmf20_rmean50,0.279,0.00086,0.00017,0.00038,,False,True,False
D_compress_state,0.023,0.00129,6e-05,0.00052,bull_range,False,False,False
D_cpr_bc,0.595,6e-05,1e-05,4e-05,,False,True,False
D_cpr_pivot,0.578,7e-05,3e-05,5e-05,,False,True,False
D_cpr_tc,0.773,8e-05,4e-05,6e-05,,False,True,False
D_cpr_vs_yday_code,0.115,5e-05,-0.00037,-0.00018,,False,True,False
D_cpr_width_pct,0.0,0.00017,-0.00128,-0.00052,,False,True,True
D_daily_trend,0.469,0.00019,2e-05,0.00012,,False,True,False
D_days_since_boh_20,0.0,0.0008,-0.00016,0.00028,,False,True,False
D_days_since_bol_20,0.0,0.00086,4e-05,0.00031,,False,True,False
D_dist_from_20h,0.598,0.0006,0.00022,0.00038,,False,True,False
D_dist_from_20l,0.56,0.00011,3e-05,7e-05,,False,True,False
D_dist_from_52wh,0.15,0.01281,0.00079,0.00591,bull_trend,True,False,False
D_dollar_vol,0.075,0.00071,-0.0001,0.00036,,False,True,False
D_donch_pos_20,0.687,0.00024,9e-05,0.00017,,False,True,False
D_donch_pos_20_lag5,0.0,0.00024,-3e-05,0.0001,,False,True,False
D_donch_pos_20_rmean50,0.52,0.00067,0.00014,0.00039,,False,True,False
D_donch_pos_50,0.042,0.0002,-4e-05,9e-05,,False,True,False
D_donch_pos_50_lag5,0.0,0.00029,-5e-05,9e-05,,False,True,False
D_donch_pos_50_rmean50,0.27,0.00049,-0.0,0.00024,,False,True,False
D_dow,0.562,2e-05,0.0,1e-05,,False,True,False
D_dvol_z20,0.529,0.00022,5e-05,0.00012,,False,True,False
D_dvol_z252,0.179,0.00072,-3e-05,0.00033,,False,True,False
D_dvol_z50,0.458,0.00043,8e-05,0.00023,,False,True,False
D_ema100,0.079,7e-05,-0.0,3e-05,,False,True,False
D_ema20,0.615,0.00013,5e-05,9e-05,,False,True,False
D_ema20_angle_deg,0.0,0.00083,3e-05,0.00028,,False,True,False
D_ema20_angle_deg_lag1,0.505,0.00027,3e-05,0.00018,,False,True,False
D_ema20_angle_deg_lag2,0.025,0.00035,-0.0001,0.00018,,False,True,False
D_ema20_angle_z252,0.0,0.00723,-0.00272,0.00038,bear_trend,True,False,True
D_ema50,0.684,0.00016,7e-05,0.00011,,False,True,False
D_ema_stack_20_50_100,0.0,0.00145,-0.00017,0.00049,bull_trend,False,False,False
D_gap_pct,0.0,0.00057,-0.00014,0.00022,,False,True,False
D_hh_run,0.337,1e-05,-0.0,1e-05,,False,True,False
